host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,3299,2,1125,4.83,4.88,4.83,4.93,4.92,4.99,4.83,t,1.28
a few days or more,0.00%,N/A,f,f,Private room in home,Private room,2,850,5,6,,,,,,,,f,
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,8,1054,2,90,4.74,4.86,4.71,4.89,4.91,4.77,4.79,f,3.11
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,4,916,2,1125,4.95,4.95,4.92,4.95,4.97,4.92,4.93,t,1.9
within an hour,100.00%,90.00%,f,t,Entire rental unit,Entire home/apt,4,944,4,1125,4.54,4.54,4.15,4.92,4.65,4.96,4.35,f,0.68
within an hour,100.00%,92.00%,t,t,Private room in home,Private room,1,330,1,1125,4.92,4.9,4.88,4.9,4.96,4.94,4.88,f,0.86
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,698,1,1125,4.72,4.75,4.75,4.88,4.83,4.92,4.79,t,3.48
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,2,1300,2,1125,4.67,5,5,5,5,5,4.33,f,0.09
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,2,1500,1,1125,5,5,5,5,5,5,5,f,0.02
within a day,71.00%,83.00%,f,t,Room in boutique hotel,Hotel room,6,1999,1,1125,3.5,3.75,3.5,3.25,2.5,3.75,3.5,t,0.08
within a day,71.00%,83.00%,f,t,Room in aparthotel,Private room,4,1399,1,1125,4.33,4.33,5,4.67,4,4.33,4.67,f,0.1
within a day,71.00%,83.00%,f,t,Room in aparthotel,Private room,2,1199,1,30,4.5,5,4.5,5,5,5,4.5,f,0.08
within a day,71.00%,83.00%,f,t,Room in aparthotel,Private room,4,1599,1,1125,,,,,,,,t,
within a day,71.00%,83.00%,f,t,Room in aparthotel,Private room,4,1899,1,1125,,,,,,,,t,
within a day,60.00%,81.00%,f,f,Entire condo,Entire home/apt,4,1300,3,30,5,5,5,5,5,5,5,f,0.1
N/A,N/A,N/A,f,f,Private room in rental unit,Private room,2,500,10,16,,,,,,,,f,
within a day,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,3000,1,30,5,5,4,5,5,5,5,t,0.06
within an hour,100.00%,100.00%,f,t,Entire guest suite,Entire home/apt,4,679,1,1125,4.7,4.87,4.69,4.91,4.91,4.97,4.67,t,1.23
within an hour,100.00%,93.00%,f,t,Entire rental unit,Entire home/apt,3,1621,2,1125,4.85,4.87,4.8,4.93,4.91,4.91,4.76,t,0.96
within an hour,99.00%,99.00%,f,t,Private room in condo,Private room,3,341,1,1125,4.34,4.59,4.38,4.75,4.7,4.83,4.45,f,3.97
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,359,1,30,4.87,4.9,4.85,4.92,4.92,4.85,4.82,f,0.7
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,2469,2,1125,4.98,4.98,4.98,4.94,5,4.94,4.92,f,1.1
within an hour,100.00%,89.00%,t,t,Private room in home,Private room,2,450,2,1125,4.96,4.95,4.9,4.92,4.94,4.97,4.96,f,2.83
within an hour,95.00%,100.00%,f,t,Entire condo,Entire home/apt,3,890,1,90,4.75,4.81,4.81,4.88,4.88,4.9,4.75,f,3.15
N/A,N/A,N/A,f,f,Private room in casa particular,Private room,1,340,16,365,,,,,,,,t,
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,5,1235,2,1125,4.76,4.84,4.69,4.85,4.87,4.84,4.77,f,2.37
within an hour,98.00%,99.00%,t,t,Entire condo,Entire home/apt,2,1987,1,30,4.89,4.9,4.83,4.93,4.95,4.95,4.8,f,5.4
within an hour,100.00%,91.00%,f,t,Private room in serviced apartment,Private room,3,1021,1,1125,4.22,4.11,4.33,4.22,4.11,4.22,4.11,f,0.53
within an hour,100.00%,67.00%,f,f,Entire rental unit,Entire home/apt,2,479,2,30,4.38,4.77,4.23,4.69,4.85,4.85,4.62,f,0.25
within an hour,90.00%,100.00%,f,t,Private room in rental unit,Private room,2,400,4,1125,4.71,4.64,4.71,4.64,4.86,4.93,4.79,f,0.27
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,1037,3,1125,4.72,4.81,4.55,4.98,4.96,4.96,4.75,f,0.95
