host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,2,817,1,1125,4.8,4.7,5,5,5,4.8,4.8,t,0.56
within an hour,100.00%,98.00%,t,t,Entire condo,Entire home/apt,4,1750,2,365,4.9,4.95,4.8,4.85,5,5,4.9,f,1.05
within an hour,100.00%,98.00%,f,t,Private room in home,Private room,1,251,3,1125,5,5,5,5,5,5,5,f,0.31
N/A,N/A,0.00%,f,t,Entire rental unit,Entire home/apt,4,1543,5,365,,,,,,,,f,
within an hour,90.00%,97.00%,t,t,Private room in rental unit,Private room,2,415,1,84,4.9,4.87,4.71,4.88,4.94,4.98,4.89,f,3.97
within a day,60.00%,100.00%,f,t,Private room in condo,Private room,2,1200,1,365,4.67,4.62,4.67,4.9,4.52,5,4.62,t,0.98
within an hour,100.00%,97.00%,f,t,Entire rental unit,Entire home/apt,3,1099,1,1125,4.36,4.73,4.91,4.64,4.27,4.73,4,f,0.6
within a few hours,90.00%,100.00%,f,t,Entire cottage,Entire home/apt,5,1600,2,1125,4.63,4.63,4.75,4.88,5,4.38,4.25,t,0.39
N/A,N/A,N/A,f,f,Casa particular,Entire home/apt,4,999,3,15,4.33,3.67,4.33,4.33,4.33,4.67,4,t,0.62
N/A,N/A,N/A,f,t,Entire rental unit,Entire home/apt,6,2509,2,21,4.66,4.69,4.93,4.9,4.9,5,4.62,f,1.38
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,5,739,3,1125,4.51,4.71,4.71,4.69,4.6,4.42,4.53,t,2.12
within an hour,100.00%,96.00%,f,t,Private room in rental unit,Private room,1,464,5,60,4.8,5,4.8,5,5,5,4.8,f,0.25
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,1377,2,28,4.72,4.78,4.72,4.94,4.86,4.94,4.67,f,1.73
N/A,N/A,71.00%,f,t,Entire rental unit,Entire home/apt,4,2449,1,1125,5,5,5,5,5,5,5,f,0.05
N/A,N/A,100.00%,f,t,Campsite,Entire home/apt,10,549,1,365,5,4,5,5,5,5,5,t,0.1
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,492,1,1125,4.69,4.81,4.64,4.91,4.92,5,4.65,t,3.65
within a day,85.00%,62.00%,t,t,Private room in condo,Private room,2,744,2,365,4.81,4.81,5,4.94,4.75,4.75,4.81,f,0.91
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,1,456,2,1125,4.69,4.76,4.78,4.86,4.8,4.96,4.69,f,2.4
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,5,2393,1,1125,5,4.9,4.98,4.83,4.94,4.88,4.92,t,2.45
within a day,67.00%,78.00%,f,t,Entire condo,Entire home/apt,4,1147,5,1125,,,,,,,,f,
within an hour,100.00%,98.00%,f,t,Entire serviced apartment,Entire home/apt,3,598,2,1125,4.5,4.42,4.42,5,4.83,4.58,4.33,f,0.6
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,850,1,1125,4.75,4.88,4.5,5,5,4.75,4.75,f,0.41
within an hour,99.00%,100.00%,f,t,Entire condo,Entire home/apt,5,1372,1,365,4.67,4.71,4.76,4.88,4.62,4.93,4.69,t,2.01
within an hour,100.00%,96.00%,f,t,Private room in rental unit,Private room,1,467,5,60,4.67,4.83,4.89,4.94,4.94,4.72,4.67,f,0.89
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,2,1750,2,1125,5,4.5,4.5,4.5,4.75,4.75,4,f,0.22
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1500,2,15,4.81,4.93,4.93,4.96,4.85,4.74,4.85,f,1.46
within an hour,100.00%,100.00%,t,t,Entire serviced apartment,Entire home/apt,7,1093,2,1125,4.93,4.93,4.89,4.89,4.92,4.92,4.96,t,4.18
within an hour,75.00%,89.00%,f,t,Entire condo,Entire home/apt,3,444,2,31,4.89,5,4.89,5,4.89,4.67,4.89,f,0.46
within an hour,99.00%,100.00%,f,t,Entire loft,Entire home/apt,3,1051,1,365,4.54,4.75,4.82,4.93,4.86,4.96,4.57,t,1.34
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1500,1,1125,4.68,4.82,4.62,4.82,4.85,5,4.71,t,1.98
within an hour,100.00%,100.00%,t,t,Private room in condo,Private room,1,414,1,365,5,5,5,5,5,4.5,5,t,0.13
N/A,N/A,N/A,f,f,Entire home,Entire home/apt,4,999,120,365,,,,,,,,t,
within an hour,100.00%,90.00%,f,t,Entire rental unit,Entire home/apt,2,1360,6,1125,4.78,4.78,4.7,4.87,4.96,4.78,4.78,t,1.17
within an hour,100.00%,99.00%,t,t,Private room in loft,Private room,1,290,1,1125,4.96,4.94,4.9,4.92,4.91,4.91,4.92,f,5.18
within an hour,100.00%,98.00%,t,t,Entire condo,Entire home/apt,3,901,3,365,4.94,4.87,4.87,4.9,4.94,4.94,4.87,f,1.78
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,1172,3,365,4.84,5,5,5,5,5,4.84,t,1.05
within a few hours,79.00%,87.00%,f,t,Entire condo,Entire home/apt,8,6200,1,7,5,5,5,5,5,5,4.88,f,0.42
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,4,1888,2,1125,5,5,4.5,5,4.5,5,5,f,0.1
N/A,N/A,89.00%,f,t,Private room in bed and breakfast,Private room,1,1097,15,30,4.43,4.71,5,4.43,4.43,4.71,4.71,f,0.37
within an hour,100.00%,100.00%,f,f,Entire rental unit,Entire home/apt,2,1000,3,1125,4.81,5,4.88,4.94,5,5,4.75,t,0.79
within an hour,99.00%,100.00%,f,t,Entire condo,Entire home/apt,3,904,1,365,4.41,4.83,4.76,4.9,4.79,4.93,4.45,t,1.45
within an hour,99.00%,100.00%,f,t,Entire loft,Entire home/apt,3,911,1,365,4.61,4.65,4.74,4.81,4.81,4.97,4.42,t,1.53
within an hour,100.00%,100.00%,f,t,Entire serviced apartment,Entire home/apt,2,1300,2,1125,4.79,4.68,4.79,4.68,4.68,5,4.79,t,0.95
within an hour,99.00%,100.00%,f,t,Entire condo,Entire home/apt,3,1137,1,1125,4,4.33,4.67,5,4,4.67,4.33,t,0.14
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,1,389,20,365,5,5,5,5,5,5,5,t,0.5
within an hour,100.00%,98.00%,f,t,Entire rental unit,Entire home/apt,4,1300,1,1125,4.7,4.79,4.66,4.74,4.79,4.77,4.79,f,2.26
within an hour,99.00%,100.00%,t,t,Private room in home,Private room,2,400,1,31,4.78,4.8,4.67,4.87,4.75,4.9,4.72,f,2.92
N/A,N/A,100.00%,t,t,Entire loft,Entire home/apt,4,750,1,1125,5,5,5,5,5,4.88,5,f,1.4
within an hour,100.00%,98.00%,t,f,Casa particular,Entire home/apt,3,564,1,1125,4.94,4.96,4.98,4.95,4.93,4.89,4.94,f,9.39
within an hour,100.00%,93.00%,f,t,Entire rental unit,Entire home/apt,3,1357,4,1125,4.67,4.78,4.61,4.78,4.94,4.78,4.67,f,0.99
within a day,100.00%,N/A,f,t,Entire rental unit,Entire home/apt,2,1815,5,1125,,,,,,,,t,
within an hour,99.00%,100.00%,t,t,Private room in home,Private room,2,439,1,31,4.82,4.8,4.72,4.9,4.92,4.97,4.85,f,4.24
within an hour,100.00%,88.00%,t,t,Entire condo,Entire home/apt,2,800,1,93,5,4.89,4.89,5,4.89,5,5,f,0.44
N/A,N/A,100.00%,t,t,Entire condo,Entire home/apt,1,1300,4,21,5,5,5,4.96,5,5,4.96,f,1.37
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,4,780,3,1125,4.43,4.71,5,4.57,4.86,4.14,4.71,t,0.42
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,2,480,1,365,4.8,4.84,4.75,4.97,4.92,4.83,4.78,f,4.25
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,2299,2,1125,4.83,4.89,5,5,5,4.94,4.89,f,1.69
within an hour,100.00%,99.00%,f,t,Private room in serviced apartment,Private room,1,310,5,100,4.6,4.4,4.4,4.8,4.8,4.8,4.4,t,0.45
within an hour,92.00%,90.00%,t,t,Entire serviced apartment,Entire home/apt,4,1017,1,1125,4.95,4.95,4.95,4.94,4.99,4.97,4.96,f,7.32
within an hour,100.00%,97.00%,f,t,Entire condo,Entire home/apt,4,876,1,365,4.28,4.46,3.99,4.7,4.51,4.87,4.35,t,3.37
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,4,1950,1,200,5,5,5,5,5,5,5,t,0.24
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,1875,2,180,4.81,4.89,4.78,4.81,4.89,5,4.78,t,2.11
within an hour,99.00%,99.00%,f,t,Entire loft,Entire home/apt,2,651,2,1125,5,5,5,5,5,5,5,f,0.28
within an hour,100.00%,96.00%,f,t,Private room in home,Private room,1,385,2,90,4.71,4.83,4.84,4.76,4.63,4.94,4.76,f,3.87
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,4,4800,3,1125,4.94,4.94,5,5,5,5,5,f,2.94
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,4,481,1,31,4.83,4.95,4.98,4.93,5,4.68,4.88,f,2.95
within an hour,97.00%,100.00%,f,t,Private room in loft,Private room,2,500,1,365,4.51,4.61,4.32,4.71,4.61,4.71,4.66,t,2.16
within an hour,98.00%,100.00%,f,t,Private room in tiny home,Private room,2,649,1,1125,4.81,4.87,4.92,4.95,4.76,4.94,4.9,t,2.94
N/A,N/A,N/A,f,f,Private room in condo,Private room,1,951,180,365,5,5,5,5,5,5,5,t,0.1
within an hour,97.00%,100.00%,f,t,Private room in rental unit,Private room,1,370,1,365,4.52,4.44,4.44,4.74,4.59,4.63,4.48,t,1.33
within an hour,97.00%,100.00%,f,t,Private room in loft,Private room,2,550,1,1125,4.56,4.72,4.63,4.75,4.32,4.7,4.56,t,2.82
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,4,1506,3,1125,4.79,4.94,4.75,4.94,4.94,4.85,4.83,t,2.51
N/A,N/A,N/A,f,t,Entire rental unit,Entire home/apt,2,1810,3,1125,5,5,5,5,5,5,5,f,0.05
N/A,N/A,100.00%,f,f,Room in hotel,Private room,2,2654,1,365,5,5,5,5,5,5,5,t,0.05
N/A,N/A,50.00%,f,t,Entire condo,Entire home/apt,3,1000,7,300,4.67,5,4.67,5,4.67,4.67,5,t,0.19
a few days or more,0.00%,N/A,f,t,Private room in home,Private room,1,300,2,365,,,,,,,,t,
within an hour,90.00%,88.00%,f,t,Private room in townhouse,Private room,2,464,3,365,4.83,4.83,4.67,5,5,5,4.83,f,0.89
within an hour,100.00%,99.00%,f,t,Entire guest suite,Entire home/apt,2,528,4,100,4.35,4.12,4.29,4.82,4.59,4.82,4.06,f,0.84
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,6,1340,2,365,4.58,4.65,4.37,4.95,4.97,4.97,4.58,t,2.93
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,6,2663,1,365,4.79,4.83,4.77,4.88,4.9,4.83,4.77,t,19.54
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,6,2608,1,365,4.76,4.85,4.76,4.87,4.88,4.8,4.74,t,18.73
within an hour,100.00%,97.00%,f,t,Entire condo,Entire home/apt,6,1529,3,365,4.52,4.67,4.76,4.67,4.38,4.95,4.76,f,1.68
N/A,N/A,83.00%,f,f,Entire condo,Entire home/apt,4,2200,1,365,3.25,3,4.5,3.75,3.25,4.75,3.25,f,0.3
within an hour,100.00%,100.00%,t,t,Entire guest suite,Entire home/apt,2,606,5,30,4.82,4.95,4.91,4.86,4.86,4.82,4.77,f,1.14
within an hour,90.00%,99.00%,f,t,Private room in rental unit,Private room,2,670,1,365,4.13,4.13,3.96,4.08,4.33,4.5,4.38,t,1.86
N/A,N/A,100.00%,t,t,Entire condo,Entire home/apt,2,935,1,365,4.94,4.94,4.94,4.88,4.88,4.94,4.82,f,1.5
within a few hours,81.00%,88.00%,t,t,Private room in serviced apartment,Private room,2,746,2,1125,4.98,4.98,4.94,5,5,5,4.91,f,3.85
within an hour,100.00%,94.00%,t,t,Entire condo,Entire home/apt,2,1379,2,1125,4.88,4.84,4.88,4.84,5,4.8,4.76,f,1.2
within a few hours,100.00%,91.00%,f,t,Entire loft,Entire home/apt,4,2902,2,1125,4.75,4.75,4.75,5,4.5,4.75,5,t,0.44
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,3,2024,3,90,4.95,4.92,4.97,4.95,4.97,5,4.85,t,1.91
within a day,50.00%,100.00%,f,t,Private room in guesthouse,Private room,1,300,3,365,4.5,4.5,4.67,4.42,4.83,4.67,4.5,f,0.59
within an hour,91.00%,79.00%,f,t,Private room in rental unit,Private room,1,450,1,365,4.91,5,5,5,5,5,4.73,f,0.52
within an hour,100.00%,96.00%,f,t,Entire home,Entire home/apt,15,5822,2,365,4.33,4.19,4.05,4.76,4.62,4.9,4.14,f,1.02
within an hour,99.00%,100.00%,t,t,Entire condo,Entire home/apt,2,604,2,1125,4.83,4.86,4.92,4.9,4.86,4.9,4.83,t,3.68
within an hour,100.00%,100.00%,f,t,Private room in home,Private room,9,3550,1,365,4.65,4.76,4.76,4.65,4.59,4.82,4.76,t,0.83
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,3,1089,3,1125,4.92,5,4.92,5,4.83,5,4.92,f,0.59
N/A,N/A,89.00%,f,t,Private room in bed and breakfast,Private room,1,1097,15,30,5,5,5,5,5,5,5,f,0.11
within an hour,90.00%,100.00%,f,t,Entire rental unit,Entire home/apt,2,2542,15,90,4.67,4.67,5,5,4.33,5,4.33,f,0.34
within an hour,99.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,2898,1,1125,4.91,4.78,4.87,4.87,4.83,4.91,4.87,t,1.18
a few days or more,0.00%,N/A,f,t,Entire condo,Entire home/apt,6,1050,1,1125,4,4,4,5,5,5,4,f,0.06
within an hour,100.00%,97.00%,f,t,Entire condo,Entire home/apt,5,556,1,365,4.72,4.77,4.61,4.86,4.86,4.9,4.72,f,4.03
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,4,971,3,120,4.94,5,4.75,5,5,4.94,4.69,f,0.94
N/A,N/A,N/A,f,t,Entire serviced apartment,Entire home/apt,4,1000,1,365,,,,,,,,t,
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,6,2263,2,1125,4.82,4.91,4.89,4.78,4.91,4.87,4.67,f,2.18
within an hour,100.00%,100.00%,t,t,Entire loft,Entire home/apt,7,1200,1,1125,4.9,4.98,5,4.98,4.88,4.85,4.9,f,2.01
within an hour,99.00%,100.00%,f,t,Entire condo,Entire home/apt,6,817,1,365,4.64,4.74,4.64,4.56,4.5,4.6,4.58,t,2.44
N/A,N/A,100.00%,f,f,Entire home,Entire home/apt,6,1600,2,30,4.86,5,5,4.86,4.86,5,5,f,1.08
within an hour,100.00%,98.00%,f,t,Private room in rental unit,Private room,2,353,1,365,4.36,4.65,4.29,4.68,4.52,4.8,4.62,t,5.41
within an hour,100.00%,100.00%,t,t,Private room in rental unit,Private room,2,1560,1,61,4.79,4.93,4.86,4.93,4.93,5,4.64,t,0.71
within a few hours,100.00%,85.00%,t,t,Entire loft,Entire home/apt,3,593,2,360,4.95,4.98,4.93,5,4.93,4.88,4.9,f,2.06
within an hour,100.00%,100.00%,f,t,Entire serviced apartment,Entire home/apt,8,2100,1,365,4.65,4.74,4.43,4.91,4.91,5,4.52,t,1.3
within an hour,95.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1600,1,365,4.88,4.86,4.96,4.95,4.93,4.89,4.84,t,2.73
within a few hours,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,5,2001,2,100,4.82,4.79,4.75,4.93,4.75,4.68,4.71,t,1.47
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,460,1,30,5,5,5,5,5,5,5,t,0.33
within an hour,100.00%,100.00%,f,t,Private room in rental unit,Private room,2,657,1,1125,4.75,4.64,4.75,4.83,4.92,4.97,4.64,t,1.82
within a few hours,80.00%,59.00%,f,t,Entire condo,Entire home/apt,4,950,1,1125,4.88,5,5,4.75,5,5,5,f,0.39
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,5,1199,2,1125,4.81,4.81,4.77,4.65,4.81,4.97,4.77,f,1.57
a few days or more,0.00%,75.00%,f,t,Private room in condo,Private room,1,500,2,1125,5,5,5,5,5,5,5,t,0.25
N/A,N/A,100.00%,f,f,Entire home,Entire home/apt,10,800,1,30,1,2,3,1,4,1,1,t,0.2
within a day,100.00%,50.00%,f,f,Private room in casa particular,Private room,2,9000,4,365,5,5,4.5,5,5,5,4,f,0.18
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,6,2696,1,30,4.8,4.8,4.8,4.6,4.8,5,4.6,f,0.3
within an hour,99.00%,100.00%,t,t,Private room in home,Private room,2,413,1,40,4.86,4.94,4.83,4.92,4.89,4.95,4.85,t,3.31
within an hour,99.00%,100.00%,t,t,Private room in home,Private room,2,426,1,120,4.77,4.84,4.6,4.85,4.74,4.97,4.82,f,3.51
within a day,80.00%,71.00%,f,t,Entire rental unit,Entire home/apt,6,1646,5,40,5,5,5,5,5,5,5,f,0.15
within an hour,100.00%,100.00%,t,t,Private room,Private room,1,1081,1,365,4.55,4.64,4.82,4.55,4.64,4.45,4.09,t,0.65
N/A,N/A,100.00%,f,f,Private room in loft,Private room,2,700,1,1125,,,,,,,,f,
within an hour,90.00%,96.00%,t,t,Entire condo,Entire home/apt,4,1000,1,365,4.78,4.91,4.87,5,4.87,4.96,4.78,f,3.05
within a few hours,80.00%,59.00%,f,t,Private room in rental unit,Private room,2,800,1,365,4,4,4,4,4,4,4,f,0.12
within an hour,100.00%,99.00%,t,t,Entire loft,Entire home/apt,4,2433,3,365,4.89,4.93,4.8,4.98,5,4.86,4.84,f,2.15
N/A,N/A,100.00%,f,f,Room in hotel,Private room,4,2839,1,30,5,5,5,5,5,5,5,f,0.06
within an hour,100.00%,83.00%,t,t,Room in boutique hotel,Private room,2,2542,1,1125,5,5,5,5,5,5,5,t,0.25
within an hour,100.00%,99.00%,t,t,Entire condo,Entire home/apt,2,414,2,100,4.87,4.73,4.8,4.93,5,4.93,4.8,f,0.76
N/A,N/A,100.00%,f,f,Room in hotel,Private room,2,3209,1,30,,,,,,,,t,
within an hour,100.00%,100.00%,t,t,Private room in casa particular,Private room,1,188916,1,4,4.8,4.89,4.91,4.9,4.9,4.73,4.86,f,6.22
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,16,22143,3,1125,5,5,5,5,4.97,4.97,4.88,t,1.69
within an hour,100.00%,94.00%,f,t,Entire rental unit,Entire home/apt,2,789,2,1125,4.56,4.5,4.59,4.91,4.76,4.97,4.5,f,1.69
within an hour,100.00%,98.00%,f,t,Entire loft,Entire home/apt,2,750,2,1125,4.42,4.55,4.74,5,4.9,4.77,4.39,t,1.55
within an hour,100.00%,94.00%,f,t,Entire rental unit,Entire home/apt,2,828,2,1125,4.53,4.7,4.7,4.97,4.83,5,4.4,f,1.5
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,874,1,64,4.93,4.9,4.9,4.84,4.88,4.9,4.93,f,2.93
N/A,N/A,100.00%,f,f,Room in hotel,Private room,2,2530,1,30,4.6,4.4,5,5,5,5,4.6,t,0.29
a few days or more,0.00%,75.00%,f,t,Private room in home,Private room,2,395,1,1125,1,1,1,1,1,1,1,f,0.06
within an hour,100.00%,99.00%,f,t,Private room in rental unit,Private room,2,650,1,30,4.67,4.33,4.67,4,4.67,5,5,f,0.22
N/A,N/A,100.00%,f,t,Entire rental unit,Entire home/apt,2,650,2,30,5,5,4,5,5,5,5,t,0.09
within an hour,100.00%,100.00%,f,t,Entire condo,Entire home/apt,5,1950,2,1125,4.96,5,4.96,4.92,4.92,4.92,4.96,t,1.18
within an hour,100.00%,99.00%,f,t,Entire condo,Entire home/apt,4,1240,2,365,4.82,4.86,4.9,4.84,4.88,4.82,4.82,f,2.46
within a day,100.00%,96.00%,f,t,Entire rental unit,Entire home/apt,6,850,2,365,4.8,4.8,4.95,4.75,4.75,4.75,4.75,f,0.97
within an hour,99.00%,100.00%,t,t,Entire condo,Entire home/apt,2,627,2,1125,4.87,4.96,4.82,4.93,4.89,4.91,4.84,t,2.64
within an hour,100.00%,100.00%,f,t,Private room,Private room,1,364,3,1125,4.77,4.81,4.79,4.92,4.92,4.97,4.85,t,3.09
within an hour,100.00%,99.00%,f,t,Entire rental unit,Entire home/apt,7,3500,1,90,4.71,4.47,4.76,5,4.94,4.94,4.59,f,1.22
within an hour,100.00%,99.00%,f,t,Entire condo,Entire home/apt,4,2837,1,1125,4.81,4.81,4.63,4.75,4.69,4.94,4.63,f,0.86
within a day,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,5,622,10,1125,5,4.89,4.89,4.89,5,4.78,5,f,0.48
N/A,N/A,N/A,f,t,Entire rental unit,Entire home/apt,4,1100,1,60,5,5,4.75,5,5,5,5,f,0.21
within a few hours,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,4,896,2,365,4.6,4.68,4.57,4.94,4.79,4.85,4.43,f,2.85
within an hour,99.00%,99.00%,t,t,Entire rental unit,Entire home/apt,4,1852,1,1125,4.47,4.41,4.63,4.91,4.94,5,4.53,t,1.56
N/A,N/A,100.00%,f,t,Private room in loft,Private room,1,500,5,365,5,5,5,5,5,5,5,f,0.33
within an hour,100.00%,90.00%,f,t,Private room in guest suite,Private room,1,210,3,1125,5,3,4,5,5,5,3,t,0.09
within an hour,99.00%,100.00%,t,t,Private room in home,Private room,2,397,1,1125,4.79,4.73,4.73,4.92,4.86,4.95,4.76,f,4.13
within an hour,100.00%,83.00%,t,t,Room in boutique hotel,Private room,2,2451,1,1125,5,5,4,5,5,5,4,f,0.05
within an hour,99.00%,100.00%,t,t,Entire condo,Entire home/apt,2,603,2,1125,4.82,4.93,4.89,4.85,4.89,4.84,4.81,t,4.3
within an hour,99.00%,100.00%,t,t,Entire condo,Entire home/apt,2,593,2,1125,4.87,4.97,4.87,4.96,4.8,4.93,4.93,t,3.43
within an hour,99.00%,99.00%,t,t,Private room in bed and breakfast,Private room,16,75730,1,365,5,5,5,5,5,5,5,t,0.09
within an hour,99.00%,99.00%,t,t,Private room in bed and breakfast,Private room,2,6626,1,1125,,,,,,,,t,
within an hour,95.00%,100.00%,t,t,Entire loft,Entire home/apt,2,1600,1,1125,4.94,4.9,4.94,4.99,4.93,4.98,4.86,t,3.91
within an hour,99.00%,99.00%,t,t,Private room in rental unit,Private room,6,17986,1,1125,,,,,,,,t,
within an hour,99.00%,99.00%,t,t,Private room in bed and breakfast,Private room,4,7005,1,1125,,,,,,,,t,
within an hour,100.00%,83.00%,t,t,Room in boutique hotel,Private room,2,2451,1,1125,5,5,5,5,5,5,4.5,f,1.02
within an hour,100.00%,99.00%,t,t,Private room in serviced apartment,Private room,1,300,15,365,,,,,,,,f,
within an hour,100.00%,83.00%,t,t,Room in boutique hotel,Private room,4,2723,1,1125,5,5,5,5,5,5,5,f,0.05
N/A,N/A,N/A,f,t,Entire condo,Entire home/apt,15,1299,1,2,,,,,,,,t,
within an hour,100.00%,99.00%,t,t,Entire rental unit,Entire home/apt,2,714,3,365,4.74,4.81,4.79,4.95,4.93,4.79,4.69,f,2.13
within an hour,100.00%,85.00%,t,t,Private room in home,Private room,2,2400,1,1125,,,,,,,,f,
within a day,80.00%,97.00%,f,t,Entire loft,Entire home/apt,2,1100,1,365,,,,,,,,f,
within an hour,100.00%,94.00%,t,t,Private room in rental unit,Private room,1,327,3,15,4.78,4.86,4.75,4.88,4.89,4.85,4.79,f,4.94
within an hour,100.00%,97.00%,f,f,Entire loft,Entire home/apt,2,367,1,365,4.85,4.81,4.73,4.92,5,4.88,4.88,f,1.3
N/A,N/A,50.00%,f,t,Private room in rental unit,Private room,2,499,1,1125,5,5,5,5,5,5,5,t,0.2
within an hour,100.00%,100.00%,f,t,Private room in condo,Private room,1,500,3,365,4.83,5,4.75,5,4.92,5,4.83,t,0.6
within an hour,99.00%,100.00%,f,t,Entire place,Entire home/apt,16,1300,1,365,4.49,4.4,4.55,4.54,4.66,4.64,4.37,t,3.27
within an hour,100.00%,100.00%,t,t,Room in hotel,Private room,4,1127,1,1125,4.88,4.87,4.92,4.87,4.85,4.81,4.92,f,2.57
within an hour,100.00%,90.00%,t,t,Entire condo,Entire home/apt,4,700,2,15,4.92,4.92,4.92,5,5,4.84,4.92,f,1.5
within an hour,100.00%,91.00%,t,t,Entire condo,Entire home/apt,3,1542,2,28,4.4,4.2,4.2,4.2,4.2,4.2,4.2,f,0.24
within an hour,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,8,1331,1,1125,4.66,4.69,4.78,4.78,4.71,4.85,4.72,t,3.15
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,3,1504,2,1125,4.72,4.78,4.84,4.84,4.84,4.94,4.59,f,1.7
within a day,70.00%,63.00%,f,t,Entire condo,Entire home/apt,4,1350,5,180,4.89,4.89,5,4.84,4.79,5,5,f,0.94
a few days or more,0.00%,50.00%,f,t,Private room in guest suite,Private room,2,215,6,180,,,,,,,,f,
within an hour,99.00%,99.00%,t,t,Entire rental unit,Entire home/apt,2,1341,1,1125,4.46,4.31,4.62,4.69,4.69,4.62,4.54,t,0.64
within a few hours,100.00%,76.00%,f,t,Entire condo,Entire home/apt,5,920,2,1125,4.82,4.89,4.73,4.93,4.93,4.98,4.8,f,2.23
N/A,N/A,N/A,f,f,Entire rental unit,Entire home/apt,2,900,30,1125,,,,,,,,f,
within an hour,99.00%,99.00%,t,t,Private room in bed and breakfast,Private room,2,3786,1,1125,5,5,5,5,5,5,5,t,0.1
within an hour,100.00%,100.00%,t,t,Entire home,Entire home/apt,8,5000,2,1125,4.97,4.91,4.86,4.94,5,5,4.97,f,1.82
N/A,N/A,N/A,f,t,Private room in rental unit,Private room,2,220,1,40,5,5,5,5,5,5,5,f,0.3
within an hour,97.00%,100.00%,t,t,Entire condo,Entire home/apt,4,2294,2,1124,4.81,4.8,4.85,4.68,4.92,4.92,4.81,t,2.99
within a day,80.00%,89.00%,f,t,Entire rental unit,Entire home/apt,2,460,3,1125,4.52,4.71,4.61,4.68,4.74,4.9,4.32,t,1.51
within an hour,99.00%,99.00%,t,t,Entire condo,Entire home/apt,6,1887,2,1125,4.5,4.78,4.59,4.72,4.59,4.97,4.69,t,1.59
a few days or more,0.00%,20.00%,f,f,Private room in condo,Private room,2,340,1,365,,,,,,,,f,
within an hour,100.00%,100.00%,f,t,Entire rental unit,Entire home/apt,6,2723,1,1125,1,1,1,2,1,1,1,t,0.05
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,1,270,1,7,4.85,4.9,4.9,4.9,4.93,4.83,4.89,f,13.08
within an hour,100.00%,80.00%,f,t,Private room in casa particular,Private room,2,506,2,31,5,4.89,4.89,4.89,4.89,5,5,f,0.44
within a few hours,100.00%,90.00%,f,t,Entire serviced apartment,Entire home/apt,4,1800,2,30,5,5,5,5,5,5,5,f,0.25
N/A,N/A,0.00%,f,f,Entire home,Entire home/apt,6,900,3,5,,,,,,,,f,
